checkout_session_id,payment_method_type,_fivetran_synced
cs_live_a11D2gkrUmVJslJZxVl2Fn0Q4AtCILqCu9orP6FUsNxXzcPwTpHSLVxFB8,card,2024-08-14 00:53:04.947000+00:00
cs_live_a11DrapDpSRett3KkZqBsQOq8mkgd0bsvgyEy9sUhxbuhiJ57T18PQ4Rj1,card,2024-08-14 00:41:16.238000+00:00
cs_live_a11FThAgJBj6W1pPDn3Y825m35Gsee6PMSZomGNZmdq7wnyivDVB09tT5i,card,2024-08-14 00:43:03.095000+00:00
cs_live_a1018uRodxSC9mTf4IKiedJZ4qRKBrkHGmce6LTZOWIQ4TEzldgBgPguMC,card,2024-08-14 00:44:09.182000+00:00
cs_live_a101ezUZd5SzUafGAWtU7Mta23cmj5GZJRIvsIP8pJNtxZ6mRtzIFDkUn9,card,2024-08-14 01:00:36.505000+00:00
cs_live_a103DkPvQbleXKuCs0gsFFIYuaBGZAInxPuWwrAcv2O97Fc8b0Iidal8kv,card,2024-08-14 00:56:08.278000+00:00
cs_live_a103fXmujZJGl9zKXprsM6iOxUdM8n799JZ7RrfewVh6QHr1tyJ9fmKYdy,card,2024-08-14 00:52:55.155000+00:00
cs_live_a105ZnADFXrmfxobJWT3228e68MMFMxyNr5RQYqnn1ijZAbP1sjBM03bMD,card,2024-08-14 01:00:39.230000+00:00
cs_live_a106AmjKh1Ck4yjn1FYbSAq387ReZXYXaTp8ErO6ujx1ExfT3DlvIkMOgy,card,2024-08-14 00:57:31.392000+00:00
cs_live_a106zmjkF0teayhhUVcE20jiPgDPeGlpfHi7m4P4KYGnuF1MSyr8uEtu3i,affirm,2024-08-14 00:54:58.149000+00:00
cs_live_a108ZQ0lRAwig9gvnkBpOpQxMJ1iFYe93QBVKI3bmjDVARrZIHmdtPXEYS,affirm,2024-08-14 00:41:22.926000+00:00
cs_live_a109SAPyMRd0Zz9nvOfYkxNH0XlNoPEDtmXR9u4jEyoS4QWl7IPqdUI9GZ,affirm,2024-08-14 00:41:44.446000+00:00
cs_live_a10AkCtNaz3AZ6ve5Q6NDh5gmK38aBqhnqU93wozjfNiXOL7wICb6U3mgE,card,2024-08-14 00:57:31.393000+00:00
cs_live_a10BY1OfJLsH42YlVWm1rucvEwXAfzHGYO9djnwsapdwmKJmqlwr5uOx53,affirm,2024-08-14 00:41:29.401000+00:00
cs_live_a10CaeASRlwQpy49C26JMYen3KsyDz7LxIzPwFkRMjWyPDXbm8LbEb03Yy,affirm,2024-08-14 00:55:40.977000+00:00
cs_live_a10D4zkiiCot6z7mIHldqE87FB0KaGoRpJL4saA0n9pWXWTIP30J44n2sE,affirm,2024-08-14 00:49:22.731000+00:00
cs_live_a10E5qMgR7DisPVJfwQ0MmUQWfyWtMuAkiDMqvbWchtwUbuzaplAn65ZmE,affirm,2024-08-14 00:50:47.498000+00:00
cs_live_a10ETEORbYFKDfIABjMFcDS4Ny3xCmvdEYSG7mWpIPqcInJhFnurThWi71,card,2024-08-14 00:41:53.799000+00:00
cs_live_a10F9qWvATbvu00PhOWfh6ATjCR2T0YdVYOoJ3LO26eqMmsrvIR5htlDU2,card,2024-08-14 01:00:17.379000+00:00
cs_live_a10FMS66JtrVDmMDNc3qSFGp4htCH5h5plZTXpXlU4YypXJariw0RMmxTx,affirm,2024-08-14 00:55:50.018000+00:00
cs_live_a10HcxrShl8CQhjj00yKLvrBbfVDCQpzO9iON2IqmNcI83lApjnFgEDlx5,card,2024-08-14 01:00:06.533000+00:00
cs_live_a10J0ejtnFGqyByU6oetnhzj6lXts5zb1zpzwANlisn4BQYQXNQVFSjaR0,affirm,2024-08-14 00:49:22.729000+00:00
cs_live_a10KiDPdu1glGVlSd6ovONwKrtWihNVPpX565c7G18Bw3sa4vUjBsl1UOc,affirm,2024-08-14 00:48:47.340000+00:00
cs_live_a10LJ97Ruv6jMksdLHrdeaGs0a0Dcu2GlDl2qm1NDzBeBE60ESQchmYBis,card,2024-08-14 00:43:41.017000+00:00
cs_live_a10MO2bJGH48c31OlzbU8uu2X8zBlzB6lBbJR7DqeYURowOUXnuOGdSHK6,card,2024-08-14 00:59:52.246000+00:00
cs_live_a10N0t3i0flqMYgZC88EozSSUR8wvyxwhLcuri5av864zWFNWsVTLzDygK,affirm,2024-08-14 00:56:08.277000+00:00
cs_live_a10Q7UMb6J1nAxO9oMaqfZk1Ye40gURMsoCGGWXWG6OTJkHYikD3BU6Clp,card,2024-08-14 01:00:58.110000+00:00
cs_live_a10QfTLCL577XvKOsi5A7tmdEfuzX4Tx5zssNBDRiAMlQc87w7I09Ykg3f,card,2024-08-14 01:00:28.117000+00:00
cs_live_a10RRmxehi0kx4K3j5HVr9WLSU0Wrcu6UbElflul7SoYBE3W95qgdSsOn7,card,2024-08-14 00:51:33.900000+00:00
cs_live_a10RcCUcre0BuKwkpyQS8YSIoJArhczUYCNoruGpBQf4lOpLTRo0FkoSCj,card,2024-08-14 00:41:16.239000+00:00
cs_live_a10Ss1bfYSKNwhy2ZhIG6s8hQfONhR4egEKhe6LxcBc7wajVXfM2jyrwxb,card,2024-08-14 00:59:55.068000+00:00
cs_live_a10TmiSWuUhWVerLbYC3zmXGfBtT3yIyc2hPYb62OJaLzUSccLOtZCTP6N,card,2024-08-14 00:50:56.920000+00:00
cs_live_a10VPbPcD5ZA6VYcjWegnMTFn40y1d0hTVZ7ZCBZMGSmTws7EplZoX0PSa,affirm,2024-08-14 00:53:38.750000+00:00
cs_live_a10WC0H5f7uXMzzaKDb0ZldQFCjV6VsaUlcmSkwSKbudt7aHyeI3G1LrB4,affirm,2024-08-14 00:50:00.314000+00:00
cs_live_a10WFx6Q3WkYm1BHJmQ2GOyjcHFXQKiR2GvabGpUb1dBSTrtifojVYqZxz,card,2024-08-14 01:00:28.119000+00:00
cs_live_a10WbCzPMOF2c5Tol1Cs0KbLw5WJXhQKPoorDmQQQASXuUrFt2nQXCkan8,affirm,2024-08-14 00:57:18.972000+00:00
cs_live_a10Wy9fkoF5HCkekLRJEw8pKWEPq0bWBzsND5O5w8Wq8MEQeIbgAntED2t,affirm,2024-08-14 00:59:10.559000+00:00
cs_live_a10X8Z2hVw1Qdodr76Io5021qpn5j9ECD6gHwov0PfgS0PpBrtfJRe8Evu,card,2024-08-14 00:54:37.182000+00:00
cs_live_a10XhkPecURFY4NGyr2qAfEKro0k71qT1Z5ejIsLoTXWpPDHEjc6anPNxa,card,2024-08-14 00:50:00.313000+00:00
cs_live_a10YeS4BxLqid0gscp6nAn3mAsBWLirX7FhwGtytajmFChonIrIr5FPsn7,affirm,2024-08-14 00:51:24.151000+00:00
cs_live_a10Ykv2N71i9A3GyKeN5mPnUGsfy2ikrv7ZeU1e9U9fbxdjANlOe5sm2lZ,affirm,2024-08-14 00:50:30.533000+00:00
cs_live_a10ZXnnZy6ESmgg0dbOyT8ZduYCEmXsD9NK4hY2prP01PaWO3auPc1GyLl,affirm,2024-08-14 01:00:03.397000+00:00
cs_live_a10Zb7eHXsVHM5AAskDAsAJ29mcKcTBf43hx0duPG1dpgWT4i6y2ut0UTY,card,2024-08-14 00:43:06.546000+00:00
cs_live_a10e6BKl7H1vCSrWZd0AvfDCgECjd8L5cSYhGjs3Wwir7Iqf2VdQC4KOZS,card,2024-08-14 00:59:38.675000+00:00
cs_live_a10esnLiDJaXpj5u0i3KgyjBhzMDJNqgKYwMqurMTI83orYlF2BOGNhaY5,card,2024-08-14 00:51:37.308000+00:00
cs_live_a10fToZM5ScRaN3IlKVIruMDWUPmQSB7BogOhLyFAZ1hQKTmP9obtWDBGo,card,2024-08-14 00:53:44.756000+00:00
cs_live_a10fVJHGlFaAAYvavsmQUNoc5aotYaKxXryXghoHGBSYBmYwePIIZx2QnA,card,2024-08-14 00:56:17.573000+00:00
cs_live_a10g9lODFLn1MovGit305pHrQ6F0WwpL7oDrxljkUy0QdMJQLhxE6bnMrj,card,2024-08-14 00:45:15.796000+00:00
cs_live_a10hZMmRKgSbJVc6acPHrVTsCHNxf6t5NjJrSJJPuP0qoiyqN2fkbVcQtW,affirm,2024-08-14 00:46:50.156000+00:00
cs_live_a10imwAIRFKOBP8qUcZc1jxHPis03jyGwzul6ucnU4tjXNgnUYfXx9Zl8E,affirm,2024-08-14 00:41:19.504000+00:00
cs_live_a10kWiQvpr3rUV2jNaHclStNeMwexAHEVrh3kKMO9ihWr20CGCh4EaCnPm,card,2024-08-14 00:57:43.595000+00:00
cs_live_a10lebKykj2aoaR9SQ5csm6JUK5xGzuzk5t4FKUblAjrDE8slbdd4G0qGP,card,2024-08-14 00:53:01.682000+00:00
cs_live_a10ofBWoY0cBKkS8SYF6D0RUy31S38LQGdCiHoJNZPWs6g5f2PjxHT474B,affirm,2024-08-14 00:57:22.142000+00:00
cs_live_a10pVFYJXzXL6C2uzQLDKeeAHmoSsXkQvzi2dlgGDPrYWX1qJAwtkjRWoa,affirm,2024-08-14 00:47:57.571000+00:00
cs_live_a10pgsIkNuw9ymGCIURaHDgLAVGROQrKuzkxowlf7dIaVSdhToqaC2tfxS,card,2024-08-14 00:50:37.256000+00:00
cs_live_a10pwqBbdCBFrTSAaUdNfJSC0IN0kNcbi3ZwcQQGDslaRd9PUz2esS6g1t,card,2024-08-14 00:42:06.884000+00:00
cs_live_a10r56Oj8Dv1Ym2OCL0Iq5HLKf6tBqppy6CT7GUcmUB9vpHthfEcPIjSRz,card,2024-08-14 00:51:43.781000+00:00
cs_live_a10rb8uEqjg4aBtjrJyVJjoGRNHcbXdjlyvypU1TDh5pD67ZsqQKh0KG2O,card,2024-08-14 00:53:26.681000+00:00
cs_live_a10s29FtoxS3s6Dzhrkv4uEpFnJu2cV7mb3Uc5Ybg069YeFMQwsBWTAUMM,affirm,2024-08-14 00:53:17.781000+00:00
cs_live_a10sTikRbDqD3UvNQfRfAo96Zt73Or051cK4CYUmF1mcMeAieo0wCy71Ga,affirm,2024-08-14 00:59:04.082000+00:00
cs_live_a10urHM5adeJFsQTVjWcZiqPYUMFBgGHjjq8der4fIbPWeiImemtSITrj3,affirm,2024-08-14 00:59:44.162000+00:00
cs_live_a10v8ZY6XQGLnoI4Pg6L20ex3Na3yFGE63K9x4sKIH3xnHCElfcADJ1L2h,card,2024-08-14 00:56:26.591000+00:00
cs_live_a10wyLhmruPEuWVZpsQaRgQj5MIYiFb4sVAH8z0nf9VhVagMyYgRorDLAI,affirm,2024-08-14 00:53:11.443000+00:00
cs_live_a10xEZjW4URAUC6t6wNWPZ1KosJJojvWKlDaCLmLcxb1KMKcTbivDqygVd,card,2024-08-14 00:56:23.920000+00:00
cs_live_a10y1yRtIYxA8UpNDqyp8ksf6AqYYtXy2vE9fPjzrJiwmiBe657Qml2CwO,affirm,2024-08-14 00:51:53.567000+00:00
cs_live_a10y8sglU9j7NBmZS3Uu9jLhstxv472NRO4N1auRW6h4753UVResZV4aMR,card,2024-08-14 00:56:37.759000+00:00
cs_live_a10yBwfUhgYxmQfK7ZT8Ue6O4XM7gNOFtsi4xzfuGXVFHkbNcCu3AFUPqC,card,2024-08-14 00:52:32.986000+00:00
cs_live_a10yNnIARpj6YvqEK5nWzZ7MNiUvuUlL7OZmivw3QD8zAY8ALoo1a2lQeX,affirm,2024-08-14 00:59:35.690000+00:00
cs_live_a10z7fEsn6s2hxySn5pd63oIJG7iLvwrnNffTrshgTJxeJHgperFQ2LYL6,affirm,2024-08-14 00:55:01.231000+00:00
cs_live_a10zUaolFiR5keZgTNktcTYvMCOlaSFMp032UOdZZ7Qykbv2t5wqf12dvz,affirm,2024-08-14 00:51:50.126000+00:00
cs_live_a110Enfxct6LnhJhvIK6pfrIKDb2pYxooEnvVDZK9GchX9USLtYlaw9cP0,affirm,2024-08-14 00:52:23.281000+00:00
