field_id,form_id,id,ref,label,attachment_type,attachment_href,attachment_property_description,_fivetran_synced,_fivetran_start,_fivetran_end,_fivetran_active
H1ZcanVuxrfF,TlsjoIys,PGxkII8b8AFH,ed8d938c-6f2a-4a17-818d-86c7e372ff0a,5,,,,2023-05-09 15:55:23.775000+00:00,2023-04-21 19:05:33.918000+00:00,9999-12-31 23:59:59.999000+00:00,True
ditubMyDHxus,Taztlocm,FrnOy5RLSZ6o,c0f7f385-ec20-4446-b25c-4332a53991fb,Red,,,,2023-05-09 15:58:03.769000+00:00,2021-10-14 18:04:17.504000+00:00,9999-12-31 23:59:59.999000+00:00,True
Ce8tDovk6LlS,XsezE0qD,V1b4hYlwrU8t,e671e902-c5d1-43e6-8b52-da4a5c3974a5,Don't set up any routines yet,,,,2023-05-09 15:56:18.378000+00:00,2022-06-15 17:07:46.599000+00:00,9999-12-31 23:59:59.999000+00:00,True
CFVnrZdExedL,mpHWnxIf,e2Pbx0CUAp3F,534b2245-e5f2-4292-966c-b94f92765015,16,,,,2023-05-09 15:56:02.636000+00:00,2022-07-01 18:47:51.536000+00:00,9999-12-31 23:59:59.999000+00:00,True
fWx3Ig3eUQR5,wzxbYq72,JJ2CPjbkb93G,0d3b00b9-f5ff-456a-876e-ffa9fcfd5a42,Upgradable,,,,2023-05-09 15:56:45.088000+00:00,2021-11-08 18:00:33.616000+00:00,9999-12-31 23:59:59.999000+00:00,True
nyTVrrQOwN8H,xYcRb6rP,E0ieGGpJV0oY,5d57f672-744a-4d07-997d-3c36ced9ab9d,Tool only phone,,,,2023-05-09 15:57:07.355000+00:00,2022-10-21 18:13:37.670000+00:00,9999-12-31 23:59:59.999000+00:00,True
btVgpHHbwMkg,qd1BXBHF,beNNEhqpPBKO,54d7a4d7-f83c-458c-bc53-95ded3d8bb1d,2,,,,2023-05-09 15:55:43.364000+00:00,2023-01-05 17:17:58.643000+00:00,9999-12-31 23:59:59.999000+00:00,True
juV3yGsq0cVU,Xq3iQG7A,VI5e0fuU9mt2,6ea4030b-e558-4c23-b0a1-4ffa5ddf4bdc,Cap ($15),image,https://images.typeform.com/images/wJrDeYceLHQu,gray baseball cap on white surface,2023-05-09 15:55:44.734000+00:00,2022-11-15 16:44:37.062000+00:00,9999-12-31 23:59:59.999000+00:00,True
mdZTGKjrG9CK,dXOhQhOt,VWke6QcLdfNR,2c779853-1823-4cf3-b4e8-a692656ebc28,5,,,,2023-05-09 15:56:47.012000+00:00,2021-10-27 15:36:50.842000+00:00,9999-12-31 23:59:59.999000+00:00,True
YjKQwrfXmSoz,j7mMhWyf,JDji4TdD4DwQ,3655387e-f208-4856-88b2-8760aecc4413,Not Disappointed (It isn't that useful),,,,2023-05-09 15:55:32.101000+00:00,2023-03-14 22:16:44.319000+00:00,9999-12-31 23:59:59.999000+00:00,True
