id,active,created,description,display_name,inclusive,jurisdiction,livemode,metadata,percentage,_fivetran_synced
txr_1N90hbFCPJnn9IgIrGhDRhO7,False,2023-05-18 06:52:43+00:00,,Sales Tax,False,Wisconsin,True,{},5.0,2025-08-12 00:33:53.869000+00:00
txr_1NAgR5FCPJnn9IgIcLTy7ZLE,False,2023-05-22 21:38:35+00:00,,Sales Tax,False,Missouri,True,{},9.738,2025-08-12 00:34:08.814000+00:00
txr_1N6Ok6FCPJnn9IgIqcl90Z97,False,2023-05-11 01:56:30+00:00,,Sales Tax,False,Illinois,True,{},6.85,2025-08-12 00:33:47.063000+00:00
txr_1N7KAsFCPJnn9IgI9obuaOP1,False,2023-05-13 15:15:58+00:00,,Sales Tax,False,Georgia,True,{},7.75,2025-08-13 00:31:34.371000+00:00
txr_1PqQU3FCPJnn9IgICZuqgy0P,False,2024-08-22 02:10:43+00:00,,RST,False,Manitoba,True,{},0.0,2025-08-13 00:34:17.374000+00:00
txr_1RJy50FCPJnn9IgIDbtCYDhe,False,2025-05-01 14:27:14+00:00,,Sales Tax,True,Kentucky,True,{},6.0,2025-08-13 00:34:05.587000+00:00
txr_1PGXW4FCPJnn9IgIeHqKoRvY,False,2024-05-15 02:24:28+00:00,,Sales Tax,False,Kentucky,True,{},6.0,2025-08-13 00:34:08.067000+00:00
txr_1N5qW5FCPJnn9IgIF0LsE46p,False,2023-05-09 13:23:45+00:00,,Sales Tax,False,Missouri,True,{},8.475,2025-08-13 00:31:57.348000+00:00
txr_1RKSrNFCPJnn9IgIUbuJvSOP,False,2025-05-02 23:19:13+00:00,,Sales Tax,True,Wisconsin,True,{},5.5,2025-08-13 00:34:07.896000+00:00
txr_1OuROGFCPJnn9IgIyVSRnkk2,False,2024-03-15 03:25:04+00:00,,Sales Tax,False,Tennessee,True,{},9.75,2025-08-13 00:31:49.200000+00:00
txr_1N6jHbFCPJnn9IgIMAXcdZKB,False,2023-05-11 23:52:27+00:00,,Sales Tax,False,Missouri,True,{},7.975,2025-08-13 00:34:04.970000+00:00
txr_1PgyJsFCPJnn9IgIglvhEg30,False,2024-07-27 00:17:08+00:00,,Sales Tax,True,Tennessee,True,{},2.75,2025-08-13 00:31:49.200000+00:00
txr_1NwT1jFCPJnn9IgIbquseboO,False,2023-10-01 17:01:55+00:00,,Sales Tax,False,Minnesota,True,{},8.525,2025-08-13 00:34:07.639000+00:00
txr_1N6pH3FCPJnn9IgIGGYh2qVp,False,2023-05-12 06:16:17+00:00,,Sales Tax,False,North Carolina,True,{},7.5,2025-08-13 00:34:07.895000+00:00
txr_1N6Nu9FCPJnn9IgIAy3vGt6G,False,2023-05-11 01:02:49+00:00,,Sales Tax,False,Illinois,True,{},7.0,2025-08-13 00:32:02.301000+00:00
txr_1RK2wrFCPJnn9IgIRv8siYVm,False,2025-05-01 19:39:09+00:00,,Sales Tax,True,Florida,True,{},7.0,2025-08-13 00:34:08.069000+00:00
txr_1N5t4MFCPJnn9IgIY3oicm8k,False,2023-05-09 16:07:18+00:00,,Sales Tax,False,Michigan,True,{},6.0,2025-08-13 00:34:08.422000+00:00
txr_1N5viaFCPJnn9IgID2tbbcMM,False,2023-05-09 18:57:00+00:00,,Sales Tax,False,Illinois,True,{},8.5,2025-08-13 00:31:24.971000+00:00
txr_1N5zTMFCPJnn9IgISQBkMugR,False,2023-05-09 22:57:32+00:00,,Sales Tax,False,Idaho,True,{},6.0,2025-08-13 00:34:08.067000+00:00
txr_1R98AbFCPJnn9IgIAzof9bIX,False,2025-04-01 17:00:13+00:00,,Sales Tax,False,Utah,True,{},7.3,2025-08-13 00:34:04.971000+00:00
txr_1RNm6oFCPJnn9IgI65dQh3Fb,False,2025-05-12 02:28:50+00:00,,Sales Tax,True,North Carolina,True,{},7.0,2025-08-13 00:34:08.417000+00:00
txr_1R9A8YFCPJnn9IgImDCjkG6J,False,2025-04-01 19:06:14+00:00,,HST,False,Canada,True,{},14.0,2025-08-13 00:34:01.490000+00:00
txr_1RJBrDFCPJnn9IgITV4UpOLR,False,2025-04-29 10:57:47+00:00,,Sales Tax,True,Pennsylvania,True,{},6.0,2025-08-13 00:34:05.339000+00:00
txr_1N6dnMFCPJnn9IgIuHsbT2zi,False,2023-05-11 18:00:52+00:00,,Sales Tax,False,Utah,True,{},6.75,2025-08-13 00:34:08.421000+00:00
txr_1N5ziaFCPJnn9IgIkjzhD4GA,False,2023-05-09 23:13:16+00:00,,Sales Tax,False,California,True,{},9.125,2025-08-13 00:34:00.745000+00:00
txr_1RJckBFCPJnn9IgIGv01ui7o,False,2025-04-30 15:40:19+00:00,,Sales Tax,True,Idaho,True,{},6.0,2025-08-13 00:34:05.586000+00:00
txr_1N6Fi1FCPJnn9IgIi6eKm9Nq,False,2023-05-10 16:17:45+00:00,,Sales Tax,False,South Carolina,True,{},9.0,2025-08-13 00:34:02.986000+00:00
txr_1NG0QYFCPJnn9IgIGHr7anmr,False,2023-06-06 14:00:02+00:00,,Sales Tax,False,Minnesota,True,{},8.375,2025-08-13 00:34:05.338000+00:00
txr_1RKgDgFCPJnn9IgIaGup7sQd,False,2025-05-03 13:35:08+00:00,,Sales Tax,True,Michigan,True,{},6.0,2025-08-13 00:34:08.420000+00:00
txr_1NwT1cFCPJnn9IgIz9J6KJJK,False,2023-10-01 17:01:48+00:00,,Sales Tax,False,Minnesota,True,{},9.025,2025-08-13 00:34:20.154000+00:00
txr_1N6L3BFCPJnn9IgIuVMXlHjR,False,2023-05-10 21:59:57+00:00,,Sales Tax,False,Colorado,True,{},4.5,2025-08-13 00:34:07.638000+00:00
txr_1N5rI6FCPJnn9IgIingicRDX,False,2023-05-09 14:13:22+00:00,,Sales Tax,False,California,True,{},9.375,2025-08-13 00:34:07.638000+00:00
txr_1N6BlfFCPJnn9IgIHKMYP9Zh,False,2023-05-10 12:05:15+00:00,,Sales Tax,False,Mississippi,True,{},7.0,2025-08-13 00:34:08.416000+00:00
txr_1N6JXIFCPJnn9IgIUWe9sKxF,False,2023-05-10 20:22:56+00:00,,Sales Tax,False,New York,True,{},8.75,2025-08-13 00:34:15.299000+00:00
txr_1N5xLEFCPJnn9IgIUKHnoEvR,False,2023-05-09 20:41:00+00:00,,Sales Tax,False,Nevada,True,{},8.375,2025-08-13 00:34:08.419000+00:00
txr_1PeV26FCPJnn9IgIbtyyoEqP,False,2024-07-20 04:36:34+00:00,,PST,False,British Columbia,True,{},7.0,2025-08-13 00:34:18.958000+00:00
txr_1N5xt8FCPJnn9IgIKSs3QeBv,False,2023-05-09 21:16:02+00:00,,Sales Tax,False,New York,True,{},8.0,2025-08-13 00:34:16.552000+00:00
txr_1N5s7VFCPJnn9IgIIFLqimqD,False,2023-05-09 15:06:29+00:00,,Sales Tax,False,Wisconsin,True,{},5.5,2025-08-13 00:34:08.067000+00:00
txr_1N5w7pFCPJnn9IgIKebq3iFr,False,2023-05-09 19:23:05+00:00,,Sales Tax,False,Colorado,True,{},3.07,2025-08-13 00:34:07.894000+00:00
txr_1N5qW7FCPJnn9IgIwo8j6hax,False,2023-05-09 13:23:47+00:00,,Sales Tax,False,Kentucky,True,{},6.0,2025-08-13 00:34:08.419000+00:00
txr_1N65qQFCPJnn9IgIPSBTNPbY,False,2023-05-10 05:45:46+00:00,,Sales Tax,False,Minnesota,True,{},7.375,2025-08-13 00:34:04.857000+00:00
txr_1N5qlXFCPJnn9IgIa2CTCqta,False,2023-05-09 13:39:43+00:00,,Sales Tax,False,Massachusetts,True,{},6.25,2025-08-13 00:34:19.580000+00:00
