checkout_session_id,allowed_country_code,_fivetran_synced
cs_live_a10hx5H40wxPte04BwBjjB8GlVMMI3aPd32Zkypx4PkeK3uaB1ZSOVoZQe,US,2024-08-14 00:57:39.897000+00:00
cs_live_a10imwAIRFKOBP8qUcZc1jxHPis03jyGwzul6ucnU4tjXNgnUYfXx9Zl8E,US,2024-08-14 00:41:19.504000+00:00
cs_live_a10kLpSkRXLKLvlMW7LlQhDi4qPbMgV8fLJx3wVBaxVsycCu0InTKTc2O0,US,2024-08-14 00:53:17.781000+00:00
cs_live_a10n32fjPjxFpgAEcVjGVLQ6g48MilUHyr6PlfM1UFBrUqAkUHDE1wQmW9,US,2024-08-14 01:00:41.835000+00:00
cs_live_a10oBmyKHXl81NgOHsj5W2cEkdbLdP7ZlERCnenWHStH21qngmt096H2D0,US,2024-08-14 00:59:13.763000+00:00
cs_live_a10ofBWoY0cBKkS8SYF6D0RUy31S38LQGdCiHoJNZPWs6g5f2PjxHT474B,US,2024-08-14 00:57:22.142000+00:00
cs_live_a10pgsIkNuw9ymGCIURaHDgLAVGROQrKuzkxowlf7dIaVSdhToqaC2tfxS,US,2024-08-14 00:50:37.256000+00:00
cs_live_a10s29FtoxS3s6Dzhrkv4uEpFnJu2cV7mb3Uc5Ybg069YeFMQwsBWTAUMM,US,2024-08-14 00:53:17.781000+00:00
cs_live_a10upPg6VuMxbtC9nt7pHJUNpPjxPsMs1o7iQdHw3IBs8jbBiiUSy4booM,CA,2024-08-14 00:43:54.130000+00:00
cs_live_a10v8ZY6XQGLnoI4Pg6L20ex3Na3yFGE63K9x4sKIH3xnHCElfcADJ1L2h,US,2024-08-14 00:56:26.591000+00:00
cs_live_a10wyLhmruPEuWVZpsQaRgQj5MIYiFb4sVAH8z0nf9VhVagMyYgRorDLAI,US,2024-08-14 00:53:11.443000+00:00
cs_live_a10xn5QxQgLhUFLH7Fjr8b33i2aZP0isdbHujBsLfOELsoyzMwKBpI0DxF,US,2024-08-14 00:49:03.442000+00:00
cs_live_a10yBwfUhgYxmQfK7ZT8Ue6O4XM7gNOFtsi4xzfuGXVFHkbNcCu3AFUPqC,US,2024-08-14 00:52:32.986000+00:00
cs_live_a10z7fEsn6s2hxySn5pd63oIJG7iLvwrnNffTrshgTJxeJHgperFQ2LYL6,US,2024-08-14 00:55:01.231000+00:00
cs_live_a111B9JrLtR7HSMRunRSHnKjcaNnO66hlPIBbrCOFRmnoTbB9WR1XLCbiS,US,2024-08-14 00:49:13.277000+00:00
cs_live_a112JsnQXLIShV6Nd3rdweIplpNnCQkn49Ln5rBEgpOpZuc2Lu1JcrFe5z,US,2024-08-14 00:46:32.771000+00:00
cs_live_a115PL7Lq96XwHf0uqco95OnbuUvs52zBjuIrC1UkOILPhYHwy5Jst0HnN,US,2024-08-14 00:53:44.753000+00:00
cs_live_a116faVavuVkbJepxu1jPCYtZPYdFH9bpUqdxpcoraSvIuCKRvVdd1ugMq,US,2024-08-14 00:53:29.457000+00:00
cs_live_a1171IWkncek6hr2CzH4jUvdzwfw8PgBpDHPNXq15szXtG0m2prBb0BxWW,US,2024-08-14 00:54:22.118000+00:00
cs_live_a117JYYy8hStmm5IxAnYJevL7bSMYYdPNmakFGVTUEUWSYMJPcnUgWsbWZ,US,2024-08-14 00:43:03.091000+00:00
cs_live_a119k8bOVZ9nHjGhnFwJbjjNpXaEYJjrdEDJuXrILoR4pdrvqHpfwe0AB3,US,2024-08-14 00:55:50.020000+00:00
cs_live_a11AP3UjDxK4Zvllrob4K4g1f1xnCl9H77hGdDRsHF4Hzy6SgYvKGnoLPN,US,2024-08-14 00:56:49.169000+00:00
cs_live_a11CNoUPbiGgbRs1T8IBBHY5sgj45fhhiMAIaZ3j3DTH9vUu2B58DH05ib,US,2024-08-14 00:57:59.554000+00:00
cs_live_a11FgY8IlVmOMWcQtzgqvTkdcbS4ZozNXxOMbTVbydZNybvk54XEaICMfF,US,2024-08-14 00:53:42.114000+00:00
cs_live_a11JDqbanwGlGJNW27D8kR51vW4oNwp35wxndf19N7EjP10WDW6Mf8ywnq,US,2024-08-14 00:55:56.515000+00:00
cs_live_a11Jq4weSJKK2ZDhffd0IzJW1ba0LdmMfQIXvYPz8ZQkwv9ViqKYAewajb,US,2024-08-14 00:49:44.511000+00:00
cs_live_a11KE8ZRtABeuGYCTSTD7jKA0MNQ9xgAGda4N2LWl7g5bA6iBmjueGyLe3,US,2024-08-14 00:45:15.792000+00:00
cs_live_a11KWt9F1lxjQYBiw2iDFgR5ZF8FHD9rtjYq7Rl76mNbmXBvzdF0WR8jdG,US,2024-08-14 00:53:44.753000+00:00
cs_live_a11OfiKj2ORHrLxBAtZrRyrKHbNqc9n2zmcM0RiKuARM7aNzLvSYvdXXPb,US,2024-08-14 00:44:48.637000+00:00
cs_live_a11TRuS7ezKt3ZSkHaJn838ODEuuW1eeFNwcGWkX3lVsNkZn6av9aD4bM0,US,2024-08-14 00:56:14.551000+00:00
cs_live_a11UrJmG2tgQYmnsd9w2QOmzT5dJtvDwlkXC3Id256KjGFZh4I4UrBu23l,US,2024-08-14 00:46:14.892000+00:00
cs_live_a11V4nk78F5JEEq3T001yZJHV6dQeAYawn4l2O73aKxcOyOzaWttrf78Aq,US,2024-08-14 00:43:25.377000+00:00
cs_live_a11VVlq6c0MN1um9GY8eWFGC30ahhOGRk7ZiDX7TxRcienzQuEXUokhujS,US,2024-08-14 01:00:58.109000+00:00
cs_live_a11Vp1VQ7SoKcnQEneN114Ivf4lPwvpUrpgObHclkQpnlbHWdHRPBKSU7W,US,2024-08-14 00:44:33.387000+00:00
cs_live_a11YC0qEk09kCizlI6YAZyPuvmexpLE0DHTPqS4bLZcome8Y3SoPzAUaKs,US,2024-08-14 01:00:36.504000+00:00
cs_live_a11ddlLfVmWb1s2POVRpI2UnWguHVqN8298gIy7PRv54tb2T7GIzYQv41X,US,2024-08-14 00:57:06.896000+00:00
cs_live_a11dxZ24GSrdGzk6DjERPPcaVwILkMFbMoHiVfIOaMJtClNtHdMguIfgFt,US,2024-08-14 00:57:18.973000+00:00
cs_live_a11dxq61AQz5vrUkeCPILnZLNFkmh0eHpwVjYk6SlYMU7Q3MdVxnAUGviU,US,2024-08-14 00:47:11.171000+00:00
cs_live_a11eHZv5xh8sy1RnYkOYpUz63buYdeSKCE3hEtF9yzrPS9Rl7FM1IqQIsU,US,2024-08-14 00:52:45.555000+00:00
cs_live_a11fJIUGzKlmoqgUXQAsG8NW43EKlG3vulS9N9OZ1RzXh529ILbGpAKqi5,US,2024-08-14 00:43:19.287000+00:00
cs_live_a11gjEcnPAZVKTQmNfTGORO5iEmxtDGyHWd2KjKAeEM0KHommX5JiQIH8b,US,2024-08-14 01:00:50.078000+00:00
cs_live_a11hLHTKe6e61jiv13ddVrhfM5mWYMwKaMpQNbX92m7RC5eSo7yxghq2uc,US,2024-08-14 00:56:11.341000+00:00
cs_live_a11jfdwGJMvN0wtPVU9B2fNFQ8WE5OGleSKNn1twPk5eKCxv933GSuspXo,US,2024-08-14 00:56:55.106000+00:00
cs_live_a11kOhRJe6vfs8AOB4Do7VPpn3rhfjSbVgnFohilYyw5yt6KdMAaYFjbg9,US,2024-08-14 00:43:54.131000+00:00
cs_live_a11l4kzXqRvd5VJ50FG0jUOfzcjykxP1hLR9zirzvlPvz5sDHXdbIuSclo,US,2024-08-14 00:52:58.399000+00:00
cs_live_a11m5AleRgAJ7FSdmPp40d680fovwWrAdoEjI7Xos7znkBwSovupSC7Z0l,US,2024-08-14 01:00:14.851000+00:00
cs_live_a11nQeItpQoa6thMFrMezJlJWu8mzQktILQauxnN15U4qFYiJRVTycysP3,US,2024-08-14 00:53:38.749000+00:00
cs_live_a11pSX4Kn3Ls4vvP9psuEFAXtQNlSLjEfZsyGrlxTlgkrSJzd9CF9exGQ8,US,2024-08-14 00:43:37.938000+00:00
cs_live_a11tc7VGeS4ler2AMinItfjdwt9qYM0EDR6qTl6wCs9WVwv4yblEuE7HDQ,US,2024-08-14 00:49:16.367000+00:00
cs_live_a11uQLCWb6bPZscQlceth6kMC5pLmUQKfPbM8D9d5xYCwZULqB6W1uDLhr,US,2024-08-14 00:52:48.700000+00:00
cs_live_a11y9TkVKFrpqOzodYAW9yzYms8tciVJaPp9FYD5LF1zKB8LgeIEeuxV35,US,2024-08-14 00:58:30.201000+00:00
cs_live_a11zJkvmDbsFufPLZS3zmKyQ8NE7WGskpvr2FnGPNUKIvI5Y8W8M9PVlfK,US,2024-08-14 00:54:40.290000+00:00
cs_live_a1294kaKAbC8fji4ZFQGSoRR5zzeHgr7Wi4huQ7fP9FqBcLHlrBqTxZcMf,US,2024-08-14 01:00:06.531000+00:00
