tax_rate_id,checkout_session_id,amount,_fivetran_synced
txr_1JPNeAFCPJnn9IgIJQaPfxVy,cs_live_a15EdqjeUIdIKTLR3SXiFIVwVuRHotMRJN5J88YMliIeFiQ5F0SMvzqL6p,2233,2024-08-14 01:00:47.358000+00:00
txr_1JPNe7FCPJnn9IgIG3EcYV9k,cs_live_b1sZBWsIcZb6nWonozZf29pfFABBPamrPNDsp1lazQoOwZcUHOpH5t2gtu,3088,2024-08-14 01:02:06.252000+00:00
txr_1JPNWGFCPJnn9IgIJyX9QiAV,cs_live_a1QAAzNN77SO4jYYnGROSIniPSGq66C7wxEl4TuCsDKeGJYAyCWuNqIZ8M,3003,2024-08-14 01:00:25.154000+00:00
txr_1NDux1FCPJnn9IgI8CBXm3N6,cs_live_a1iIOAVod5zuqSstH61kZbFHI52eJDpVMq4ujGlf6d62A8fFaOGmKVDyM5,1036,2024-08-14 00:44:24.219000+00:00
txr_1NH8vFFCPJnn9IgIousJ09M8,cs_live_b1Fp7QXsZSoJ7NRa4FY2JGyCYbWmztxEU4oQdfX5dhO5IrZ9wS37sCXlxa,5503,2024-08-14 00:50:02.932000+00:00
txr_1JPNvBFCPJnn9IgIunLd9ZFz,cs_live_b1wQPbnfL7EayINGMsoJEazMs1q6FXMNHyEEesDXUxVFhzJKTL7jOLZHZs,2064,2024-08-14 01:01:32.465000+00:00
txr_1JPO7LFCPJnn9IgIS0OOw1A3,cs_live_a1FlqPuY73I3MlGIGa1GGfABX2a2PvmrlMGkciE74eaVAnaKG0xwnLmQSR,4076,2024-08-14 01:01:00.634000+00:00
txr_1JUwnQFCPJnn9IgI6H2drw45,cs_live_a1qCHiy6lEwKnr00v6D4WsU9GEUvOEk3OXoPUgJVjvMoLWiaIss3YXOHAF,2998,2024-08-14 00:57:31.392000+00:00
txr_1JPNYTFCPJnn9IgIOITqIUq9,cs_live_a1xbYivs5Ip3T6mQIoj6uiGDmXhtu9vDINeuFwj4DVt1anrVh2Z0M9VYz9,3606,2024-08-14 01:00:22.699000+00:00
txr_1JUNhvFCPJnn9IgIXmj2Qemv,cs_live_b1BquJAdfoav1XeKo9HfszCEwcKFjyxOUPwoAGMDsbxx2QxqAJ565FytTm,3078,2024-08-14 01:16:55.487000+00:00
txr_1JUwnSFCPJnn9IgIBpbu80L3,cs_live_b1mfYdGDDHfEvk1ZForjsVmO4Atd6O7vXdefePQIKhUSspDdBVh3nhkdgn,2479,2024-08-14 01:07:14.654000+00:00
txr_1JPNZDFCPJnn9IgIvpF0f16V,cs_live_b1rIozVh0yXYqHx1jBKVvvnSb1Ev7i0Eq1gra8m1vldEnNdNTFzuVE28Jg,2160,2024-08-14 00:58:10.818000+00:00
txr_1N7RmxFCPJnn9IgIwrO5cA6X,cs_live_a1i11zD8NdIlpt5PUjyuzkNaNLcXuvpP41ZK9Y9Y5w5uufp5maGUuAxlXO,3545,2024-08-14 00:50:56.921000+00:00
txr_1N5qlXFCPJnn9IgIa2CTCqta,cs_live_b18n3qW40pY3FJQCWIr605qZcJpIzBWBmosW6eMhvlBWtp4y6dEZdf1ZKt,125,2024-08-14 00:49:50.606000+00:00
txr_1JPNLeFCPJnn9IgIEiXA3AiH,cs_live_b1I6HjsJAii76nWyN6OnfkN9TehDY6hOuTEXISemV5kXo4NTY6IUviQrLE,2241,2024-08-14 01:01:25.723000+00:00
txr_1N5xtBFCPJnn9IgIx8mG82Li,cs_live_b14LtJwvqsfPhjvzECKUTzms9G7puCDshXHsxGchKILQJQ8O9NCKczDwod,0,2024-08-14 00:50:18.430000+00:00
txr_1N6CpoFCPJnn9IgIFjsJwPuS,cs_live_b1S2zK7sP81NGNb9diuQUHm27saY4uYn9YWtQdO8h7t4PjT9RZWXQHYBtN,84,2024-08-14 00:44:06.063000+00:00
txr_1JIuUmFCPJnn9IgITWdA9WaI,cs_live_b1MqHgXke5a1HZclWTqDSqEmFD4hsjvP3WSSKULoDJZF70tZUfa1v3VmyH,5593,2024-08-14 01:01:35.771000+00:00
txr_1Jfp6DFCPJnn9IgIRVi7vJlF,cs_live_b1KITTOpFcCmC8uHRwR12v0MADhx4DEHFHfbSdcABbXNqGJQvWZ95bVw44,3520,2024-08-14 01:10:08.004000+00:00
txr_1JRfd8FCPJnn9IgI6coBd9gR,cs_live_b1VZZqM82UnkHC9wquMHCe1oY2ldkk2GiALleCCihy3GpzBhAChIoJxobx,0,2024-08-14 00:58:30.201000+00:00
txr_1JPNIWFCPJnn9IgIsVzClFgw,cs_live_b1MHkVJFviY9pCUAS8uzrlhQkpGupGLheuDA0VxuKypFWZFEHiRfx0Od0j,1174,2024-08-14 01:11:50.877000+00:00
txr_1N6HRnFCPJnn9IgI98tA85VX,cs_live_b1zbJpk3jf1hBg1melJzxJ9ClpPwPAXxENfyX4L6JHwf0NIxG0Ll9h7Vco,0,2024-08-14 00:51:00.135000+00:00
txr_1N5sJFFCPJnn9IgIg17aZk6g,cs_live_b1a924QZNoFT4RN0xUBWHUfD2dcxc8w76LBu998JPdwSfBlqVO19fsPcIB,0,2024-08-14 00:50:47.499000+00:00
txr_1JPNIWFCPJnn9IgIsVzClFgw,cs_live_b1ly1bYdJRncEIca4QGOPpcAKsQvfHXLjjYrKyXuuSga1Cr1i2IIAipM4o,1435,2024-08-14 01:09:29.371000+00:00
txr_1NCUQsFCPJnn9IgIlhSE4zF4,cs_live_b18K5IymfD6fPugVWaZAdvjJ9mQSLLY4J2X9xNtRSUVsszOtYlX2ndO44P,242,2024-08-14 00:49:19.566000+00:00
txr_1N5qECFCPJnn9IgI6xI7IwlW,cs_live_b1KUdZVMjWBGWpSHuM9lMDZNvAHvmHz5RL4ZwaIONN6qXwt2dZaoAG6Kgd,495,2024-08-14 00:49:57.284000+00:00
txr_1NP7AwFCPJnn9IgIIzfA2xdo,cs_live_b1CgKERCoXfxgWqG95vZFdlsOdFT4AHlfvqqftwgZcosRDu4lS0pNhhLoP,2598,2024-08-14 00:45:07.322000+00:00
txr_1JPOJXFCPJnn9IgIwdR49WM7,cs_live_b11WGNaPDeJtqr6iHIywKLhDdjrUYYWy4mIEvVJnPOQBznGeCWLkR2KppW,2464,2024-08-14 01:09:53.512000+00:00
txr_1JPNXmFCPJnn9IgItM5YUAqU,cs_live_a16yMAXdLYE9X2jpOzldxjb2O2VLBjAx1m1L2HEuQVfhFpYc6idULPfo45,3439,2024-08-14 00:59:35.689000+00:00
txr_1N5qECFCPJnn9IgI6xI7IwlW,cs_live_b1GKnj7txpGsGdvKsh8fbBwKtIwFHu0629NCSSLDcPJU0Epj2dTEsko0Va,3289,2024-08-14 00:48:37.139000+00:00
txr_1MTroYFCPJnn9IgIP2iaMcqq,cs_live_a1WnFTtSobaKNetcyABWWJ19rryz2vT00AVksx8wp9VN95f7phpL6tNSg2,3521,2024-08-14 00:58:36.357000+00:00
txr_1JUwnLFCPJnn9IgIBHpzHMcT,cs_live_b1f98Flxn26KKuvGDc480aDFDVyJR1B8VYyfLwe7JlLArUofyFyqb2T179,1457,2024-08-14 00:57:50.073000+00:00
txr_1N5q5UFCPJnn9IgI5EGWj8DB,cs_live_b1EsmNPdcvAmpID04U9RAERLulhG2CwWuwMQx5Xfk5kQfAoqNyhsfJJ9cQ,0,2024-08-14 00:49:47.626000+00:00
txr_1N5xLfFCPJnn9IgINNnYPeeL,cs_live_b1z8XCOcIYbZMCDegkixehApvwE6bZutsw274BeF9ICwcPrrhSS7s2FqRm,0,2024-08-14 00:41:50.730000+00:00
txr_1JPNYRFCPJnn9IgI47BOJSQU,cs_live_a1DfTPVmWelTxsHdv949FRuSIMPPXj7yW0iXYn32z9Qgzl4bwVf9pUyc8Y,3790,2024-08-14 00:57:39.902000+00:00
txr_1N6ISXFCPJnn9IgI6OxDDnaz,cs_live_b1iQt8wEmPZwd4zvmJWOx5cGKNUa6tCxlw73iBrnZKNZbHoJujVcuCjT4V,2468,2024-08-14 00:54:22.116000+00:00
txr_1JIuUmFCPJnn9IgITWdA9WaI,cs_live_b1s6WDbpXYYvpcEvbXtHwwZ26xyjT86g0dLqjZrrhiZNRE4rQz8oeeaqsH,2904,2024-08-14 01:15:09.085000+00:00
